title,first_name,occupation,nationality,birth_year,age,article,url
eric robinson ( australian politician ),eric,businessperson,Australian,1929,51,"eric laidlaw robinson ( 18 january 1929 -- 7 january 1981 ) was an australian politician. robinson took over his family 's sporting goods business and built it up from a single store into a chain along the queensland coast. he was president of the queensland branch of the liberal party in from 1968 to 1973. he was elected to the federal seat of mcpherson in the house of representatives. following malcolm fraser 's win at the 1975 election, he was appointed minister for the capital territory in the fraser ministry. in february 1976, he was moved to minister for post and telecommunications. he was appointed minister for finance following phillip lynch 's standing down in 1977. allegations of malpractice by him were dealt with in the royal commission of inquiry into matters in relation to electoral redistribution in queensland 1977, which exonerated him of wrongdoing. on 22 february 1979, he resigned from the ministry, stating in a letter to fraser that he could no longer give him his `` unqualified support ''. on 27 february he agreed to return as minister for finance -- fraser said that `` there were no significant differences '' between them. he was not reappointed to the ministry following the 1980 election. robinson died suddenly, survived by his wife, narelle, a son and a daughter.",https://en.wikipedia.org/wiki/index.php?curid=14192704
john heussler,john,merchant,German,1820,87,"johann christian ( john ) heussler ( 1820 -- 1907 ) was a businessman and politician in queensland, australia. he was a member of the queensland legislative council.",https://en.wikipedia.org/wiki/index.php?curid=45008127
françois michelin,françois,executive,French,1926,88,"françois michelin ( 15 june 1926 -- 29 april 2015 ) was a french heir and business executive. he served as the chief executive officer of michelin from 1955 to 1999. under his leadership at the helm of a family business founded by his grandfather in 1889, michelin became the number one manufacturer of tires globally, dominating the marketshare in europe and the united states. a practising roman catholic, he was idiosyncratically non-hierarchical and conducted business from his hometown of clermont-ferrand in the rural auvergne.",https://en.wikipedia.org/wiki/index.php?curid=46569126
leslie waller,leslie,writer,American,1923,83,"leslie elson waller ( april 1, 1923 -- march 29, 2007 ) was an american writer.",https://en.wikipedia.org/wiki/index.php?curid=7314487
"arthur nicolson, 1st baron carnock",arthur,diplomat,British,1849,79,"arthur nicolson, 1st baron carnock, gcb, gcmg, gcvo, kcie ( 19 september 1849 -- 5 november 1928 ), known as sir arthur nicolson, 11th baronet, from 1899 to 1916, was a british diplomat and politician during the last quarter of the 19th century to the middle of world war i.",https://en.wikipedia.org/wiki/index.php?curid=1748957
friedrich schiller,friedrich,poet,German,1759,45,"johann christoph friedrich von schiller (; 10 november 17599 may 1805 ) was a german poet, philosopher, historian, and playwright. during the last seventeen years of his life ( 1788 -- 1805 ), schiller struck up a productive, if complicated, friendship with already famous and influential johann wolfgang von goethe. they frequently discussed issues concerning aesthetics, and schiller encouraged goethe to finish works he left as sketches. this relationship and these discussions led to a period now referred to as weimar classicism. they also worked together on `` xenien '', a collection of short satirical poems in which both schiller and goethe challenge opponents to their philosophical vision.",https://en.wikipedia.org/wiki/index.php?curid=63742
john milner fothergill,john,physician,British,1841,47,"john milner fothergill, m.d. ( 11 april 1841 -- 28 june 1888 ), was a british physician and medical writer.",https://en.wikipedia.org/wiki/index.php?curid=32756799
margaret wolfe hungerford,margaret,novelist,Irish,1855,41,"margaret wolfe hungerford, née hamilton, ( 27 april 1855 -- 24 january 1897 ), was an irish novelist whose light romantic fiction was popular throughout the english-speaking world in the late 19th century.",https://en.wikipedia.org/wiki/index.php?curid=2993299
george story ( politician ),george,farmer,Australian,1849,82,george william bennett story ( 24 march 1849 -- 3 june 1931 ) was a member of the queensland legislative assembly.,https://en.wikipedia.org/wiki/index.php?curid=45502388
paul freiherr von eltz-rübenach,paul,architect,German,1875,68,"peter paul freiherr von eltz-rübenach ( 9 february 1875 -- 25 august 1943 ) was minister of mail ( reichspostminister ) and minister of transport ( reichsminister für verkehr ) of germany between 1932 and 1937. eltz-rübenach was born in wahn ( today part of cologne ), a scion of the rhenish noble house of eltz. as a nonpartisan he had been appointed reich minister for both transport and postal affairs in chancellor franz von papen 's `` cabinet of barons '' on 1 june 1932. he retained the posts under chancellor kurt von schleicher and after the nazi `` machtergreifung '' under adolf hitler. in the course of the rising conflict between the nazi government and the catholic church, eltz-rübenach, a devout catholic, in a cabinet meeting on 30 january 1937 rejected the golden party badge personally offered by hitler and resigned. afterwards he became a `` suspect person '' monitored by the gestapo, while his pension claims were temporarily revoked. eltz-rübenach died in linz am rhein, aged 68.",https://en.wikipedia.org/wiki/index.php?curid=10676431
florence scovel shinn,florence,artist,American,1871,69,"florence scovel shinn ( september 24, 1871, camden, new jersey -- october 17, 1940 ) was an american artist and book illustrator who became a new thought spiritual teacher and metaphysical writer in her middle years. in new thought circles, she is best known for her first book, `` the game of life and how to play it '' ( 1925 ). shinn expressed her philosophy as: the invisible forces are ever working for man who is always ` pulling the strings ' himself, though he does not know it. owing to the vibratory power of words, whatever man voices, he begins to attract.::: `` the game of life '', florence scovel shinn",https://en.wikipedia.org/wiki/index.php?curid=9750308
john morris ( australian politician ),john,unionist,Australian,1936,76,"john joseph morris ( 12 june 1936 -- 8 february 2013 ) was an australian politician. born in wallsend, new south wales, he was an organiser of the federated liquor and allied industries employees ' union before becoming its nsw secretary and president and eventually the national president. in 1976 he was elected to the new south wales legislative council as a labor member. he left the council in 1984 to contest the australian senate for new south wales, in which he was successful. he remained in the senate until he retired in 1990.",https://en.wikipedia.org/wiki/index.php?curid=20147444
john panizza,john,farmer,Australian,1931,65,"john horace panizza ( 24 march 1931 -- 31 january 1997 ) was an australian politician. born at southern cross, western australia, he was a farmer and property developer, and served on yilgarn shire council. in 1987, he was elected to the australian senate as a liberal senator for western australia. he held his senate seat until his death in 1997; ross lightfoot was appointed to replace him.",https://en.wikipedia.org/wiki/index.php?curid=20282317
henry t. anthony,henry,photographer,American,1814,70,"henry tiebout anthony ( september 18, 1814 -- october 11, 1884 ) was an american photographer and the vice president of the e. & h. t. anthony & company, which was the largest manufacturer and distributor of photographic supplies in the united states during the 19th century. henry anthony was a brother of edward anthony and had a close business relationship with mathew brady.",https://en.wikipedia.org/wiki/index.php?curid=32962680
paul st. pierre,paul,journalist,Canadian,1923,90,"paul st. pierre ( october 14, 1923 -- july 27, 2014 ) was a journalist and author in british columbia, canada. he was the member of parliament for the riding of coast chilcotin from 1968-1972. he was defeated in the 1972 election by new democratic party candidate harry olaussen in a tight three-way race ( see results below ). he was especially known for his popular fiction recounting adventures and quirks of life in the chilcotin-cariboo, and for a regular column that appeared for many years in the `` vancouver sun ''. one of his novellas set in the chilcotin, `` the breaking of smith 's quarter horse '', was adapted into a feature film starring glenn ford. also starring in that film was chief dan george, who played the character old antoine in the cbc-tv adaptation of his novel `` cariboo cowboy ''. st. pierre continued to write and maintain residences in the chilcotin, the fraser valley and teacapán, mexico. in politics, he was a member of the liberal party. his riding spanned the central coast, then including the large pulp mill town of ocean falls and the western part of the cariboo and the squamish-lillooet in a time when the largest town was bralorne, and both were isolated as well as separated by each other by vast mountains. other voters were in the chilcotin plateau and cariboo, over yet another set of mountains and/or huge plateaus from the other towns on the coast and in the southern part of the riding. in those days squamish was still only accessible by ferry from downtown vancouver, and the rail line came no farther south. most of the remaining major towns in the riding, squamish, lillooet, powell river, sechelt, ocean falls and bella coola, were all separated from each other and all those mentioned by either water or rail - or, in the case of lillooet to bella coola, an arduously long and difficult drive via 100 mile house and williams lake; the latter was among the three or four largest towns in the riding and is today central to the cariboo riding. because it was easier st. pierre was one of the `` flying mps '' whose ridings spanned whole european countries in size, and where many voters were distant from the capital and living in areas difficult to get around in, never mind to. as with george murray, member of the legislative assembly in the provincial riding of lillooet, which is in the southeastern part of the federal riding, once he became the area 's representative, he moved there and fell in love with it. his books are classics of the cowboy genre and also constitute documents of individuals and notes on local natural history and myth, and serve as portraits of the cultures of the chilcotin, cariboo and nechako districts of british columbia. he died at home on july 27, 2014.",https://en.wikipedia.org/wiki/index.php?curid=3209873
pedro antonio de alarcón,pedro,novelist,Spanish,1833,58,"pedro antonio de alarcón y ariza ( 10 march 183319 july 1891 ) was a nineteenth-century spanish novelist, author of the novel `` el sombrero de tres picos '' ( `` the three-cornered hat '', 1874 ). the story is an adaptation of a popular tradition and provides a lively picture of village life in alarcón 's native region of andalusia. it was the basis for hugo wolf 's opera `` der corregidor '' ( 1897 ) and manuel de falla 's ballet `` the three-cornered hat '' ( 1919 ). alarcón wrote another popular short novel, `` el capitán veneno '' ( ` captain poison ', 1881 ). he produced four other full-length novels. one of these novels, `` el escándalo '' ( ` the scandal ', 1875 ), became noted for its keen psychological insights. alarcón also wrote three travel books and many short stories and essays. alarcón was born in guadix, near granada. in 1859, he served in a spanish military operation in morocco. he gained his first literary recognition with `` a witness ' diary of the african war ( 1859-1860 ) '', a patriotic account of the campaign.",https://en.wikipedia.org/wiki/index.php?curid=1271216
harry bernstein,harry,writer,American,1910,101,"harry louis bernstein ( may 30, 1910 -- june 3, 2011 ) was a british-born american writer whose first published book, `` the invisible wall: a love story that broke barriers '', dealt with his long suffering mother ada 's struggles to feed her six children; an abusive, alcoholic father, yankel; the anti-semitism bernstein and his jewish neighbors encountered growing up in a cheshire mill town ( stockport, now part of greater manchester ) in northwest england; the loss of jews and christians from the community in world war i; and the romeo and juliet-like romance experienced by his sister lily and her christian boyfriend. the book was started when bernstein was 93 and published in 2007, when he was 96. the loneliness he encountered following the death of his wife, ruby, in 2002, after 67 years of marriage, was the catalyst for bernstein to begin work on his book. his second book, `` the dream '', published in 2008, centered on his family 's move to the west side of chicago in 1922 when he was twelve. in 2009, bernstein published his third book, `` the golden willow '', which chronicled his married life and later years. a fourth book, `` what happened to rose '', will be published posthumously in 2012. before his retirement at age 62, bernstein worked for various movie production companies, reading scripts and working as a magazine editor for trade magazines. he also wrote freelance articles for such publications as `` popular mechanics '', `` family circle '' and `` newsweek ''. bernstein lived in brick township, new jersey. he died at the age of 101, on june 3, 2011.",https://en.wikipedia.org/wiki/index.php?curid=10804447
emil lind,emil,actor,Austrian,1872,75,emil lind ( 1872 -- 1948 ) was an austrian actor.,https://en.wikipedia.org/wiki/index.php?curid=35952590
"john bromfield, jr..",john,merchant,American,1779,70,"john bromfield, jr. ( 11 april 1779 -- 9 december 1849 ) was a boston merchant and benefactor of the boston athenæum.",https://en.wikipedia.org/wiki/index.php?curid=43062701
johannes mario simmel,johannes,novelist,Austrian,1924,84,"johannes mario simmel ( 7 april 1924 -- 1 january 2009 ), also known as j. m. simmel, was an austrian writer. he was born in vienna and grew up in austria and england. he was trained as a chemical engineer and worked in research from 1943 to the end of world war ii. after the end of the war, he worked as a translator for the american military government and published reviews and stories in the vienna `` welt am abend ''. starting in 1950, he worked as a reporter for the munich illustrated `` quick '' in europe and america. he wrote a number of screenplays and novels, which have sold tens of millions of copies. many of his novels were successfully filmed in the 1960s and 1970s. he won numerous prizes, including the award of excellence of the society of writers of the un. important issues in his novels are a fervent pacifism as well as the relativity of good and bad. several novels are said to have a true background, possibly autobiographic. according to his swiss lawyer, simmel died on 1 january 2009 in lucerne, at 84 years of age. this date was the 99th birthday of `` thomas lieven '', the main character of `` it ca n't always be caviar. ''",https://en.wikipedia.org/wiki/index.php?curid=2414341
lady caroline blackwood,lady,novelist,British,1931,64,"the lady caroline maureen hamilton-temple-blackwood ( 16 july 1931 -- 14 february 1996 ) was a writer, and the eldest child of the 4th marquess of dufferin and ava and the brewery heiress maureen guinness. a well-known figure in the literary world through her journalism and her novels, caroline blackwood was equally well known for her high-profile marriages, first to the artist lucian freud, then to the composer israel citkowitz and finally to the poet robert lowell, who described her as `` a mermaid who dines upon the bones of her winded lovers ''. her novels are known for their wit and intelligence, and one in particular is scathingly autobiographical in describing her unhappy childhood. she was born into an anglo-irish aristocratic family from ulster at 4 hans crescent in knightsbridge, her parents ' london home. she was, she admitted, `` scantily educated '' at rockport school in county down, at brilliantmont in lausanne, and at downham in essex. after a finishing school in oxford she was presented as a debutante in 1949 at a ball held at londonderry house. plump, ungainly and lacking in confidence as a teenager, she soon blossomed into a captivating blonde beauty with startlingly large blue eyes.",https://en.wikipedia.org/wiki/index.php?curid=2924037
giovanni caselli,giovanni,inventor,Italian,1815,76,"giovanni caselli ( 1815 -- 1891 ) was an italian physicist. he is the inventor of the pantelegraph ( a.k.a. universal telegraph or `` all-purpose telegraph '' ), the predecessor of the modern fax machine. the world 's first practical operating facsimile machine ( `` fax '' ) system put into use was by caselli.",https://en.wikipedia.org/wiki/index.php?curid=6958636
william hood dunwoody,william,businessperson,American,1841,72,"william hood dunwoody ( march 14, 1841 -- february 8, 1914 ) was an american banker, miller, art patron and philanthropist. he was a partner in what is today general mills and for thirty years a leader of northwestern national bank, today 's wells fargo. a fantastically successful salesman in the united kingdom, by 1901 dunwoody was one of sixteen millionaires in minneapolis, minnesota. he is remembered today for his bequests that created the dunwoody institute ( now called the dunwoody college of technology ) and the william hood dunwoody fund of the minneapolis institute of art.",https://en.wikipedia.org/wiki/index.php?curid=47537520
bob stenehjem,bob,engineer,American,1952,59,"robert `` bob '' stenehjem (; january 12, 1952 -- july 18, 2011 ) was a north dakota republican politician, serving in the north dakota senate for district 30. he was the senate majority leader from 2001 until his death in 2011. stenehjem ran for the republican nomination for a seat on the north dakota public service commission in 2008 to succeed the retiring commissioner, susan wefald. stenehjem lost the nomination during the north dakota republican party 's state convention on march 29, 2008, coming in second place to eventual nominee brian kalk, a professor at north dakota state university, during the north dakota republican party state convention march 29, 2008. stenehjem was subsequently re-elected to his seat in the state senate in 2008. stenehjem was a graduate of bismarck high school and bismarck state college. he was a member of ducks unlimited and the national rifle association. he was the brother of north dakota attorney general wayne stenehjem. on july 18, 2011, stenehjem was killed in a single vehicle auto accident near homer, alaska, where his brother, john and son, rob. live.",https://en.wikipedia.org/wiki/index.php?curid=11297819
don hewitt,don,producer,American,1922,86,"donald shepard `` don '' hewitt ( december 14, 1922 -- august 19, 2009 ) was an american television news producer and executive, best known for creating `` 60 minutes '', the cbs television news magazine, in 1968, which at the time of his death, was the longest-running prime-time broadcast on american television. under hewitt 's leadership, `` 60 minutes '' was the only news program ever rated the nation 's top-ranked television program, an achievement it accomplished five times. hewitt produced the first televised presidential debate in 1960.",https://en.wikipedia.org/wiki/index.php?curid=2391371
mary mccarthy gomez cueto,mary,artist,Canadian,1900,108,"mary mccarthy gomez cueto ( april 27, 1900 -- april 3, 2009 ) was the widow of a wealthy cuban businessman who died in poverty, unwilling to leave the island and unable to access her funds because of the us embargo on trade with cuba. after her husband 's death in 1951, and following the takeover of the island under a communist regime, she had become an anachronism, and ended her life in poverty, bereft of her wealth due to the u.s. embargo, and granted a tiny pension by the castro government. a victim of political circumstance, she died there at the age of 108, and was buried next to her husband.",https://en.wikipedia.org/wiki/index.php?curid=22323348
gustav falke,gustav,writer,German,1853,63,gustav falke ( 11 january 1853 -- 8 february 1916 ) was a german writer.,https://en.wikipedia.org/wiki/index.php?curid=28502783
william dixson,william,businessperson,Australian,1870,82,"sir william dixson ( 1870 -- 1952 ) was an australian businessman, collector and benefactor who bequeathed his collection of over 20,000 items of australiana to the state library of new south wales, forming the `` dixson library ''. in recognition of his public benefactions, dixson was knighted in the new year honours of 1939.",https://en.wikipedia.org/wiki/index.php?curid=36241753
"donald s. lopez, sr..",donald,director,American,1923,84,"donald s. lopez, sr. ( july 15, 1923 -- march 3, 2008 ) was a u.s. army and u.s. air force fighter and test pilot and until his death the deputy director of the smithsonian national air and space museum. in 1948 he married glindel barron, sister of florida state senator dempsey barron. born in brooklyn, new york, lopez showed an interest in aviation at an early age. he often rode his bike to floyd bennett field where he occasionally got free flights from a family friend. during his teenage years, his family moved to tampa, florida, inside the traffic pattern of drew army air field, so he could see army air corps fighters flying overhead. that hardened his resolve to become a fighter pilot. he learned to fly in college, then volunteered for the army air forces aviation cadet program when the age limit was lowered to 18 in early 1942. after earning his wings, he saw combat in china as a member of the 23rd fighter group, successor to the famed flying tigers. he became an ace, credited with shooting down five japanese fighters, four in a p-40 and one in a p-51. lopez returned to florida in 1945 and served as a fighter test pilot at eglin field, flying most of the early jet fighters. after eglin, he served two tours in the pentagon, earned a b.s. and m.s. in aeronautical engineering, and was an associate professor of thermodynamics at the united states air force academy. following his retirement from the air force in 1964, he spent eight years as an engineer on the apollo and skylab programs with bellcomm, inc., a subsidiary of bell labs. in 1972, he joined the staff of the national air and space museum. his publications include two memoirs, `` into the teeth of the tiger '' ( smithsonian, 1997, isbn 1-56098-752-9 ), and `` fighter pilot 's heaven: flight testing the early jets '' ( smithsonian, 2001, isbn 1-56098-916-5 ). he and glindel have two children, joy lopez and donald s. lopez, jr. ( currently a professor of buddhist studies at the university of michigan ), and one grandchild, laura v. lopez. lopez died from a heart attack on march 3, 2008, at duke university medical center in durham, north carolina. he had a military honor funeral and is buried at arlington national cemetery in arlington, virginia.",https://en.wikipedia.org/wiki/index.php?curid=1280806
alf brustellin,alf,director,Austrian,1940,41,"alf brustellin ( 27 july 1940 -- 11 november 1981 ) was an austrian film director and screenwriter. he directed six films between 1972 and 1979. he co-directed the 1978 film `` germany in autumn '', which won the special recognition award at the 28th berlin international film festival.",https://en.wikipedia.org/wiki/index.php?curid=28285909
alberto de oliveira,alberto,poet,Brazilian,1857,79,"antônio mariano de oliveira ( april 5, 1855 -- january 5, 1937 ) was a brazilian poet, pharmacist and professor, more well known by his pen name alberto de oliveira. alongside olavo bilac and raimundo correia, he comprised the brazilian `` parnassian triad ''. he founded and occupied the 8th chair of the brazilian academy of letters from 1897 until his death in 1937.",https://en.wikipedia.org/wiki/index.php?curid=3792369
dora greenwell,dora,poet,English,1821,60,"dora greenwell, born dorothy greenwell ( 1821 -- 1882 ) was an english poet.",https://en.wikipedia.org/wiki/index.php?curid=28016964
james montgomery flagg,james,artist,American,1877,82,"james montgomery flagg ( june 18, 1877 -- may 27, 1960 ) was an american artist and illustrator. he worked in media ranging from fine art painting to cartooning, but is best remembered for his political posters.",https://en.wikipedia.org/wiki/index.php?curid=238492
ted corday,ted,producer,American,1908,58,"theodore `` ted '' corday ( may 8, 1908 -- july 23, 1966 ) was a producer, director and creator ( or co-creator ) of many american serials.",https://en.wikipedia.org/wiki/index.php?curid=4057931
carmen de icaza,carmen,journalist,Spanish,1899,79,"carmen de icaza ( b. 17 may 1899, madrid, spain -- d. 16 march 1979 ) was a spanish novelist from 1935 to 1960. she enjoyed success with her 1936 novel, `` cristina guzmán '' which was subsequently adapted for the stage, television and cinema. de icaza started to writing novels in 1935. by 1945, she was a best-selling writer in spain.",https://en.wikipedia.org/wiki/index.php?curid=47519411
jan władysław dawid,jan,educator,Polish,1859,55,"jan władysław dawid ( born 26 june 1859 in lublin - died 9 july 1914 ) was a teacher, psychologist, pioneer of educational psychology and experimental pedagogy in poland. he was a lecturer at the flying university ( now known as the `` society for educational courses '', also known as `` the society for science courses '' ) in warsaw. he since held other numerous roles including editor of a number of polish journals such as the `` educational review ( przegląd pedagogiczny ) '' ( 1889 -- 1897 ), `` voice ( głos ) '' ( 1900 -- 1905 ) and `` social review ( przegląd społeczny ) '' ( 1906 -- 1907 ).",https://en.wikipedia.org/wiki/index.php?curid=23202253
saul steinberg ( businessman ),saul,founder,American,1939,73,"saul phillip steinberg ( august 13, 1939 -- december 7, 2012 ) was an american businessman and financier. he started a computer leasing company ( leasco ), which he used in an audacious and successful takeover of the much larger reliance insurance company in 1968. he was best known for his unsuccessful attempts to take over chemical bank in 1969 and walt disney productions in 1984.",https://en.wikipedia.org/wiki/index.php?curid=23477027
robert a. rushworth,robert,pilot,American,1924,68,"robert aitken `` bob '' rushworth ( october 9, 1924 -- march 17, 1993 ), ( maj gen, usaf ), was an american world war ii, korean war and vietnam war pilot, mechanical and aeronautical engineer, and united states air force test pilot for the north american x-15 program.",https://en.wikipedia.org/wiki/index.php?curid=1065575
george davis ( art director ),george,director,American,1914,83,"george davis ( april 17, 1914 -- october 3, 1998 ) was a celebrated art director.",https://en.wikipedia.org/wiki/index.php?curid=5245009
john boyd ( canadian politician ),john,businessperson,Canadian,1826,67,"john boyd ( september 28, 1826 -- december 4, 1893 ) was a businessman and the eighth lieutenant governor of new brunswick following canadian confederation. born to a protestant family in magherafelt, ireland, boyd and his younger brother immigrated to new brunswick with their mother in 1833, two years after the death of his father. he apprenticed at british and foreign dry goods and eventually became a buyer and then, in 1854, full partner in the firm. boyd read and travelled widely overseas and became a popular lecturer at home. politically he was a supporter of samuel leonard tilley and was frequently his campaign manager after 1854 as well as a supporter of confederation. he was also an advocate of temperance. he was also a supporter of the `` new brunswick common schools act of 1871 '' and its establishment of a non-sectarian school system. he served on the saint john, new brunswick school board beginning in 1871, becoming its chairman in 1874. boyd was appointed to the canadian senate as a liberal-conservative ( supporter of sir john a. macdonald ) on february 11, 1880 and then to the position of lieutenant governor of new brunswick on september 21, 1893 but served only a few months until his death on december 4, 1893.",https://en.wikipedia.org/wiki/index.php?curid=12495813
wilhelm pauck,wilhelm,historian,American,1901,80,"wilhelm pauck was born in laasphe, in westphalia, germany bad laasphe, january 31, 1901, and died in palo alto, california, september 3, 1981. a german-american church historian and historical theologian in the field of reformation studies, pauck 's fifty-year teaching career reached from the university of chicago and union theological seminary, to vanderbilt and stanford universities. his impact was extended through frequent lectures and visiting appointments in the u.s. and europe. pauck served as a bridge between the historical-critical study of protestant theology at the university of berlin and u.s. universities, seminaries, and divinity schools. combining high critical acumen with a keen sense of the drama of human history, in his prime pauck was considered the dean of historical theology in the united states. in the course of his career he became associated with reinhold niebuhr and paul tillich as friend, colleague, and confidant.",https://en.wikipedia.org/wiki/index.php?curid=32499777
robert lehr,robert,lawyer,German,1883,73,"robert lehr ( 20 august 1883 in celle -- 13 october 1956 in düsseldorf ) was a german politician ( dnvp, cdu ). he served as federal minister of the interior from 1950 to 1953 under chancellor konrad adenauer.",https://en.wikipedia.org/wiki/index.php?curid=25755763
patricia castell,patricia,actor,Argentine,1926,87,"patricia castell, born ovidia amanda paramidani padín ( 25 april 1926 -- 29 september 2013 ), was an argentine actress, appearing on radio, television and in films. born in avellaneda in 1926, her career began in the 1940s and lasted for more than fifty years. in 1949 she starred in the boxing drama `` diez segundos '', the first of many appearances alongside maría rosa gallo over several decades, including `` perla negra '' and `` zíngara '' ( 1996 ). she starred in many soap operas/telenovelas, and was perhaps best known for her portrayal of the evil cecilia in the soap opera `` celeste ''.",https://en.wikipedia.org/wiki/index.php?curid=33540316
alice bailey,alice,author,British,1880,69,"alice ann bailey ( june 16, 1880 -- december 15, 1949 ) was a writer and theosophist in occult teachings, esoteric psychology and healing, astrological and other philosophic and religious themes. bailey was born as alice latrobe bateman, in manchester, england. she moved to the united states in 1907, where she spent most of her life as a writer and teacher. bailey 's works, written between 1919 and 1949, describe a wide-ranging system of esoteric thought covering such topics as how spirituality relates to the solar system, meditation, healing, spiritual psychology, the destiny of nations, and prescriptions for society in general. she described the majority of her work as having been telepathically dictated to her by a master of wisdom, initially referred to only as `` the tibetan '' or by the initials `` d.k. '', later identified as djwal khul. her writings were of the same nature as those of madame blavatsky and are known as the ageless wisdom teachings. though bailey 's writings differ from the orthodox theosophy of madame blavatsky, they have much in common with it. she wrote about religious themes, including christianity, though her writings are fundamentally different from many aspects of christianity and of other orthodox religions. her vision of a unified society includes a global `` spirit of religion '' different from traditional religious forms and including the concept of the age of aquarius.",https://en.wikipedia.org/wiki/index.php?curid=425823
siegfried lenz,siegfried,novelist,German,1926,88,"siegfried lenz ( 17 march 19267 october 2014 ) was a german writer of novels, short stories and essays, as well as dramas for radio and the theatre. in 2000 he received the goethe prize on the 250th anniversary of johann wolfgang von goethe 's birth.",https://en.wikipedia.org/wiki/index.php?curid=1398976
frederick george miles,frederick,engineer,British,1903,73,"frederick george miles ( 1903 -- 1976 ) was a british aircraft designer and manufacturer who designed numerous light civil and military aircraft and a range of prototypes. the name `` miles '' is associated with two distinct companies that miles was involved in and is also attached to many non-aviation products such as the biro pen, photocopiers and book binding machinery. throughout his life, he was known as `` miles '' and never by his first name, even to his own family.",https://en.wikipedia.org/wiki/index.php?curid=15593718
john floyd ( georgia politician ),john,engineer,American,1769,69,"john floyd ( october 3, 1769 -- june 24, 1839 ) was an american politician and brigadier general in the first brigade of georgia militia. he was a member of the georgia house of representatives, as well as the us house of representatives.",https://en.wikipedia.org/wiki/index.php?curid=2631543
stanley williams,stanley,author,American,1953,51,"stanley tookie williams iii ( december 29, 1953 -- december 13, 2005 ) was one of the early leaders in the west side crips, an american street gang which has its roots in south central los angeles in 1969. once incarcerated, he authored several books, including anti-gang and anti-violence literature and children 's books. on december 13, 2005, williams was executed by lethal injection after clemency and a four-week stay of execution were both rejected by governor arnold schwarzenegger, amid debate over the death penalty. williams was the second inmate in california to be executed in 2005.",https://en.wikipedia.org/wiki/index.php?curid=301009
lee de forest,lee,inventor,American,1873,87,"lee de forest ( august 26, 1873 -- june 30, 1961 ) was an american inventor, self-described `` father of radio '', and a pioneer in the development of sound-on-film recording used for motion pictures. he had over 180 patents, but also a tumultuous career -- he boasted that he made, then lost, four fortunes. he was also involved in several major patent lawsuits, spent a substantial part of his income on legal bills, and was even tried ( and acquitted ) for mail fraud. his most famous invention, in 1906, was the three-element `` grid audion '', which, although he had only a limited understanding of how it worked, provided the foundation for the development of vacuum tube technology.",https://en.wikipedia.org/wiki/index.php?curid=256764
edwin lusher,ted,lawyer,Australian,1916,83,the honourable edwin augustus lusher qc ( 16 june 1916 -- 5 january 2000 ) was an australian judge who chaired new south wales commissions of inquiry into police administration and gambling.,https://en.wikipedia.org/wiki/index.php?curid=39020644
alan whicker,alan,journalist,British,1921,91,"alan donald whicker ( 2 august 1921 -- 12 july 2013 ) was a british journalist and television presenter and broadcaster. his career spanned almost 60 years, during which time he presented the documentary television programme `` whicker 's world '' for over 30 years. he was made a commander of the order of the british empire ( cbe ) in 2005 for services to broadcasting.",https://en.wikipedia.org/wiki/index.php?curid=1173650
john davis ( massachusetts governor ),john,lawyer,American,1787,67,"john davis ( january 13, 1787 -- april 19, 1854 ) was an american lawyer, businessman and politician from massachusetts. he spent 25 years in public service, serving in both houses of the united states congress and for three non-consecutive years as governor of massachusetts. because of his reputation for personal integrity he was known as `` honest john '' davis. born in northborough, massachusetts, davis attended yale college before studying law in worcester, massachusetts, where he established a successful law practice. he spent 10 years ( 1824 -- 34 ) in the united states house of representatives as a national republican ( later whig ), where he supported protectionist tariff legislation. he won election as governor of massachusetts in a three-way race in 1833 that was decided by the state legislature. after two terms he was elected to the united states senate, where he served most of one term, resigning early in 1841 after he was once again elected governor. his second term as governor was undistinguished, but he split with fellow whig daniel webster over a variety of issues, and lost the 1843 election to democrat marcus morton. he was reelected to the senate in 1845, where he served until 1851. he opposed the mexican-american war, and worked to prevent the extension of slavery to the territories, although he did not take a hard line on the matter, voting for most of the provisions of the compromise of 1850. he retired from public service in 1853, and died the next year.",https://en.wikipedia.org/wiki/index.php?curid=972055
peter walsh ( australian politician ),peter,farmer,Australian,1935,80,"peter alexander walsh ( 11 march 193510 april 2015 ) was an australian senator and labor politician from 1974 to 1993. walsh grew up in doodlakine, western australia, where he was a wheat and sheep farmer. he was elected to the australian senate in 1974, and served as minister for resources and energy from 1983 to 1984 and finance minister from 1984 to 1990. he was noted for his pro-free market views. in his 1995 memoirs, `` confessions of a failed finance minister '', walsh was critical of his colleagues and of political processes in general for failing to curb what he saw as wasteful government expenditure, and unnecessary government intervention. also in his book he corrected errors made in `` whatever it takes '', the book written by former ministerial colleague and fellow senator graham richardson. after leaving politics, walsh was a columnist for the `` australian financial review '' and was particularly critical of environmentalism. he was one of the founders of the lavoisier group which opposes the kyoto protocol on global warming. walsh also expressed criticism over the rudd government 's national broadband network scheme. walsh died at a hospital in perth after a short illness on 10 april 2015. in his tribute to him, sitting liberal finance minister and another wa senator mathias cormann described his predecessor as `` a real pillar of the hawke government ''.",https://en.wikipedia.org/wiki/index.php?curid=46368471
